,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
33,SQUAT 17B,SMB (AM Segment),35.0%,4,0.0%,€12.06,35.0%,5,0.0%,€15.11
34,SHARLOTKA_,SMB (AM Segment),35.0%,3,0.0%,€17.58,35.0%,1,0.0%,€6.78
35,KAFE MAJAK,SMB (AM Segment),35.0%,4,100.0%,€32.26,35.2%,7,100.0%,€26.58
36,SHAH DONER,SMB (AM Segment),35.0%,2,0.0%,€16.76,35.0%,3,0.0%,€12.15
37,SABAY,SMB (AM Segment),35.0%,1,0.0%,€16.85,,,,
38,DNEPR.YACHT,SMB (AM Segment),35.0%,4,0.0%,€20.89,35.0%,2,0.0%,€9.66
39,SORSO,SMB (AM Segment),35.0%,1,0.0%,€14.59,,,,
40,HOROVATS,SMB (AM Segment),35.0%,2,0.0%,€14.74,35.0%,2,0.0%,€34.17
41,VOIS CAFE,SMB (AM Segment),35.0%,1,0.0%,€30.67,35.0%,2,0.0%,€10.78
42,CROCO PIZZA KYIV,SMB (AM Segment),35.0%,1,0.0%,€5.24,,,,
43,TASTYGO,SMB (AM Segment),35.0%,15,0.0%,€17.81,35.0%,4,0.0%,€13.32
44,THE KEBAB,SMB (AM Segment),35.0%,3,0.0%,€12.05,35.0%,6,0.0%,€11.80
45,SMACHNOTUT,SMB (AM Segment),35.0%,1,0.0%,€32.96,,,,
46,EATALIANO,SMB (AM Segment),35.0%,2,0.0%,€7.80,35.0%,5,0.0%,€16.56
47,SHAWA TIME,SMB (AM Segment),35.0%,4,0.0%,€8.35,,,,
48,PARADISE PIZZA,SMB (AM Segment),35.0%,2,0.0%,€10.26,35.0%,3,0.0%,€17.23
49,SYROVARNIA LVIV,SMB (AM Segment),35.0%,2,0.0%,€18.23,35.0%,5,0.0%,€19.50
50,BEER BAR FRIENDS,SMB (AM Segment),35.0%,2,0.0%,€19.08,35.0%,1,0.0%,€27.22
51,SHASHLYK KYIVSKYI,SMB (AM Segment),35.0%,1,0.0%,€36.14,35.0%,3,0.0%,€9.92
52,BENNJI,SMB (AM Segment),35.0%,1,0.0%,€35.83,,,,
53,LAUNGEKAFE EDEM,SMB (AM Segment),35.0%,1,0.0%,€10.65,,,,
54,SHAURMA DONER SHASHLYK NA MANGALI,SMB (AM Segment),35.0%,5,0.0%,€17.23,35.0%,5,0.0%,€10.67
55,BATBUT,SMB (AM Segment),35.0%,2,0.0%,€11.99,32.8%,6,0.0%,€10.92
56,PABRESTORAN KOZASKYI PAB,SMB (AM Segment),35.0%,10,100.0%,€18.10,33.1%,9,100.0%,€19.91
57,BRUNO•S,SMB (AM Segment),35.0%,7,0.0%,€13.50,35.0%,28,0.0%,€11.43
58,ARARAT ODESA,SMB (AM Segment),35.0%,2,0.0%,€23.00,35.0%,6,0.0%,€28.59
59,CRUNCHY SNACK,SMB (AM Segment),35.0%,1,100.0%,€24.00,,,,
60,SOROKA VAYN BAR,SMB (AM Segment),35.0%,7,0.0%,€14.84,35.0%,5,0.0%,€13.33
61,CHIMNEY CAKE KINGDOM,SMB (AM Segment),35.0%,1,0.0%,€14.64,35.0%,2,0.0%,€13.38
62,CACAO,SMB (AM Segment),35.0%,1,100.0%,€14.11,34.2%,3,100.0%,€16.65
63,KEBAB GRILL KYIV,SMB (AM Segment),35.0%,13,0.0%,€10.53,34.2%,12,0.0%,€10.60
64,BEER COMPANY,SMB (AM Segment),35.0%,18,0.0%,€11.71,35.0%,16,0.0%,€9.41
65,BEERCOOL,SMB (AM Segment),35.0%,2,0.0%,€8.42,,,,
66,FORCHINO CAFE,SMB (AM Segment),35.0%,12,0.0%,€16.77,34.5%,11,0.0%,€17.81
67,MORA MORA,SMB (AM Segment),35.0%,4,0.0%,€14.03,35.0%,3,0.0%,€16.29
68,NAVI KITCHEN,SMB (AM Segment),35.0%,1,0.0%,€19.11,,,,
69,NIKARI SUSHI,SMB (AM Segment),35.0%,5,0.0%,€35.62,35.0%,6,0.0%,€24.65
70,PROZHARKA,SMB (AM Segment),35.0%,1,0.0%,€23.50,35.0%,4,0.0%,€39.66
71,SMACHNO TAK,SMB (AM Segment),35.0%,5,0.0%,€9.80,35.0%,4,0.0%,€18.93
72,SYTYY DVIZH,SMB (AM Segment),35.0%,15,0.0%,€10.47,35.0%,16,0.0%,€11.28
73,TIOTIA RAYA,SMB (AM Segment),35.0%,6,0.0%,€17.60,26.6%,3,0.0%,€10.33
74,TOMOBOSHI,SMB (AM Segment),35.0%,9,0.0%,€15.50,35.0%,6,0.0%,€14.81
75,GASTRONOM ODS,SMB (AM Segment),35.0%,1,0.0%,€9.00,35.0%,3,0.0%,€12.05
76,VASHA SHAVA,SMB (AM Segment),35.0%,13,0.0%,€10.79,35.0%,19,0.0%,€11.65
77,STREET FOOD ASVIK,SMB (AM Segment),35.0%,3,100.0%,€18.92,35.0%,1,100.0%,€26.21
78,CINNAMON BAKERY LVIV,SMB (AM Segment),35.0%,14,0.0%,€14.71,35.0%,8,0.0%,€15.79
79,CHINAR,SMB (AM Segment),35.0%,1,0.0%,€23.02,,,,
80,THE LOFT STREET FOOD,SMB (AM Segment),35.0%,4,0.0%,€22.87,35.0%,3,0.0%,€17.56
81,SUN GARDEN LVIV,SMB (AM Segment),35.0%,5,0.0%,€17.74,35.0%,3,0.0%,€18.74
82,CRAZYCHEF,SMB (AM Segment),35.0%,1,0.0%,€20.81,35.0%,5,0.0%,€24.50
83,SUSHIDREAM,SMB (AM Segment),35.0%,2,0.0%,€20.12,35.0%,1,0.0%,€28.71
84,GRILL HOUSE KHARKIV,SMB (AM Segment),35.0%,4,0.0%,€10.08,35.0%,7,0.0%,€12.99
85,AZURA,SMB (AM Segment),35.0%,1,0.0%,€35.32,35.0%,4,0.0%,€22.54
86,XARAKTER PARK,SMB (AM Segment),35.0%,5,0.0%,€15.40,35.0%,2,0.0%,€12.05
87,COFFEECAPITAL,SMB (AM Segment),35.0%,6,0.0%,€11.95,35.0%,3,0.0%,€9.40
88,MIY KEBAB LVIV,SMB (AM Segment),35.0%,14,0.0%,€10.53,35.0%,13,0.0%,€12.63
89,TRDELIO,SMB (AM Segment),35.0%,1,0.0%,€15.23,35.0%,2,0.0%,€11.47
90,STRICHKA VDNH,SMB (AM Segment),35.0%,1,0.0%,€14.74,,,,
91,CHAMIS CAFE,SMB (AM Segment),35.0%,3,0.0%,€18.09,35.0%,1,0.0%,€20.34
92,POLTAVA,SMB (AM Segment),35.0%,5,0.0%,€20.63,35.0%,1,0.0%,€16.59
93,KAFE MLYNCI TA KAVA,SMB (AM Segment),35.0%,3,0.0%,€8.77,32.7%,6,0.0%,€18.68
94,OG KHARKIV,SMB (AM Segment),35.0%,1,0.0%,€12.33,35.0%,1,0.0%,€9.74
95,KYIV SHASHLYK,SMB (AM Segment),35.0%,1,0.0%,€18.87,,,,
96,MRIYA MLYNS,SMB (AM Segment),35.0%,1,0.0%,€24.64,,,,
97,SHAURMA & GRILL,SMB (AM Segment),35.0%,1,0.0%,€6.84,,,,
98,HRUZYNSKYJ RESTORAN KHEBI,SMB (AM Segment),35.0%,1,0.0%,€31.98,,,,
99,PIZZA ZHRYTSIA,SMB (AM Segment),35.0%,3,0.0%,€14.32,35.0%,2,0.0%,€20.91
100,GRETA,SMB (AM Segment),35.0%,11,0.0%,€15.77,35.0%,14,0.0%,€19.14
101,SAMARKAND.KYIV,SMB (AM Segment),35.0%,9,0.0%,€19.20,35.0%,9,0.0%,€27.00
102,CAPULETI,SMB (AM Segment),35.0%,10,0.0%,€23.99,35.0%,3,0.0%,€14.37
103,SMAZHENIY KARAS,SMB (AM Segment),35.0%,2,0.0%,€15.45,35.0%,3,0.0%,€14.06
104,AM CAKE,SMB (AM Segment),35.0%,5,0.0%,€11.79,35.0%,9,0.0%,€14.79
105,BONITA BURGER,SMB (AM Segment),35.0%,9,0.0%,€16.73,35.0%,14,0.0%,€18.39
106,FISHCHIPS,SMB (AM Segment),35.0%,1,100.0%,€48.96,35.2%,6,100.0%,€19.35
107,ZHAROVNYA,SMB (AM Segment),35.0%,5,0.0%,€27.39,35.0%,2,0.0%,€28.02
108,VEGAMRITA,SMB (AM Segment),35.0%,1,0.0%,€25.65,35.0%,2,0.0%,€11.82
109,SHAWUHA,SMB (AM Segment),35.0%,8,0.0%,€13.05,35.0%,9,0.0%,€12.75
110,DONER HOUSE ODESA,SMB (AM Segment),35.0%,5,0.0%,€20.04,35.0%,4,0.0%,€16.10
111,KINTO,SMB (AM Segment),35.0%,1,100.0%,€16.35,39.0%,1,100.0%,€14.11
112,JURBA,SMB (AM Segment),35.0%,6,0.0%,€11.37,35.0%,4,0.0%,€18.48
113,TUTTA PIZZA,SMB (AM Segment),35.0%,3,0.0%,€21.08,35.0%,1,0.0%,€22.57
114,GO TO PIZZA,SMB (AM Segment),35.0%,2,0.0%,€11.40,35.0%,2,0.0%,€13.53
115,SANTORINI_,SMB (AM Segment),35.0%,5,0.0%,€21.36,,,,
116,TEMPO DEL CAFFE,SMB (AM Segment),35.0%,1,100.0%,€7.95,35.7%,2,100.0%,€11.67
117,LADY FOX,SMB (AM Segment),35.0%,1,0.0%,€20.23,,,,
118,TOP BURGER,SMB (AM Segment),35.0%,5,0.0%,€15.55,35.0%,9,0.0%,€11.93
119,EAT LIKE HOME,SMB (AM Segment),35.0%,1,0.0%,€19.44,,,,
120,MYASOID,SMB (AM Segment),35.0%,2,0.0%,€18.32,35.0%,6,0.0%,€19.08
121,SHOPYVO,SMB (AM Segment),35.0%,17,0.0%,€13.18,35.0%,16,0.0%,€14.46
122,GOLD TIGER,SMB (AM Segment),35.0%,1,0.0%,€15.68,,,,
123,4TOWER,SMB (AM Segment),35.0%,6,0.0%,€18.74,35.0%,8,0.0%,€15.06
124,Z TANDYRA,SMB (AM Segment),35.0%,1,0.0%,€25.65,35.0%,2,0.0%,€10.61
125,KULTURA PYVA,SMB (AM Segment),35.0%,1,0.0%,€29.71,,,,
126,BURGER BAR,SMB (AM Segment),35.0%,5,0.0%,€11.22,35.0%,2,0.0%,€10.68
127,TURBO SHAURMA,SMB (AM Segment),35.0%,3,0.0%,€11.59,35.0%,5,0.0%,€11.07
128,GANESHABEER,SMB (AM Segment),34.9%,6,100.0%,€12.72,35.8%,7,100.0%,€12.31
129,RESTORAN TRY KORONY,SMB (AM Segment),34.8%,46,100.0%,€14.38,34.4%,28,100.0%,€13.38
130,HAPPY BAKERY,SMB (AM Segment),34.8%,11,100.0%,€15.10,34.7%,9,100.0%,€17.10
131,SMACHNA ZAPRAVKA,SMB (AM Segment),34.7%,1,100.0%,€18.58,31.5%,1,100.0%,€13.40
132,STUDIYA SMAKU LOFT,Mid-market (AM Segment),34.6%,50,100.0%,€12.13,34.3%,64,100.0%,€12.84
133,SISTERS COFFEEFOOD,SMB (AM Segment),34.5%,7,0.0%,€12.61,35.0%,7,0.0%,€20.25
134,JAMES COOK,SMB (AM Segment),34.5%,4,100.0%,€8.80,34.6%,5,100.0%,€8.73
135,FILVAROK NA DNIPRI,SMB (AM Segment),34.5%,5,100.0%,€14.72,33.6%,3,100.0%,€25.77
136,99 LARI,SMB (AM Segment),34.5%,16,100.0%,€23.81,35.3%,12,100.0%,€24.28
137,CHEBURECHNA 1,SMB (AM Segment),34.4%,3,100.0%,€9.35,32.6%,6,100.0%,€14.46
138,SIMEYNA SHAURMA,SMB (AM Segment),34.4%,31,0.0%,€12.45,34.6%,32,0.0%,€12.60
139,RESTORAN V TARILCI,SMB (AM Segment),34.4%,8,100.0%,€13.64,31.6%,8,100.0%,€17.03
140,SUSHI BAR KALIFORNIA,SMB (AM Segment),34.4%,13,0.0%,€13.06,34.4%,9,0.0%,€21.31
141,IRLANDSKYI PABPYVOVARNIA TO DUBLIN,SMB (AM Segment),34.2%,6,100.0%,€25.42,32.6%,5,100.0%,€31.54
142,SHTRUDEL,SMB (AM Segment),34.2%,7,0.0%,€19.48,35.0%,8,0.0%,€20.53
143,BIZU BIZU,SMB (AM Segment),34.2%,8,100.0%,€19.78,34.7%,33,100.0%,€16.97
144,KRAFTKEBAB,SMB (AM Segment),34.2%,9,0.0%,€16.81,34.0%,11,0.0%,€19.95
145,AL KAPONE,SMB (AM Segment),34.2%,2,100.0%,€9.27,34.0%,7,100.0%,€14.13
146,JUJU,SMB (AM Segment),34.2%,6,0.0%,€16.70,35.0%,8,0.0%,€16.64
147,PYVKO,SMB (AM Segment),34.2%,8,100.0%,€13.59,32.7%,10,90.3%,€13.72
148,ART FOOD,SMB (AM Segment),34.2%,4,100.0%,€19.50,34.5%,5,100.0%,€18.53
149,HOTPIZZASUSHI,SMB (AM Segment),34.2%,4,100.0%,€31.20,32.0%,5,100.0%,€33.21
150,YIZ JAK V DOMA,SMB (AM Segment),34.1%,16,0.0%,€13.91,35.0%,2,0.0%,€12.20
151,SVOI REST,SMB (AM Segment),34.1%,6,100.0%,€11.88,32.7%,11,100.0%,€18.36
152,ECOBUFFET,SMB (AM Segment),34.1%,10,0.0%,€10.95,34.3%,16,0.0%,€12.67
153,HANZO SUSHI BAR,SMB (AM Segment),34.1%,6,100.0%,€24.66,34.3%,7,100.0%,€28.15
154,URBAN GRILL,SMB (AM Segment),34.1%,2,100.0%,€33.43,36.0%,1,100.0%,€16.19
155,APPETITO,SMB (AM Segment),34.1%,163,41.7%,€13.54,34.1%,164,37.6%,€12.95
156,BRONX LVIV,SMB (AM Segment),34.0%,3,0.0%,€12.33,30.0%,1,0.0%,€12.77
157,YIDALNIA1,SMB (AM Segment),34.0%,24,100.0%,€10.41,33.8%,25,100.0%,€12.16
158,ROZMARIN,SMB (AM Segment),34.0%,24,100.0%,€19.88,33.6%,28,100.0%,€20.41
159,ELECTRON CAFE,SMB (AM Segment),34.0%,1,100.0%,€19.51,29.7%,2,100.0%,€24.40
160,ORI BAR,SMB (AM Segment),34.0%,1,0.0%,€43.35,,,,
161,SKARTVELO,SMB (AM Segment),34.0%,4,0.0%,€14.82,30.7%,4,0.0%,€11.90
162,MEETMEATMEMORIES,SMB (AM Segment),34.0%,2,0.0%,€22.97,34.0%,8,0.0%,€19.96
163,BUBLBEE,SMB (AM Segment),34.0%,8,100.0%,€12.36,32.8%,10,100.0%,€14.78
164,RYS TA LOKSHYNA,SMB (AM Segment),34.0%,21,100.0%,€12.32,32.5%,30,100.0%,€14.83
165,PROSTO KEBAB,SMB (AM Segment),33.9%,36,100.0%,€10.27,34.0%,36,100.0%,€10.42
166,STREET HOUSE,SMB (AM Segment),33.8%,14,100.0%,€11.99,34.0%,15,100.0%,€10.50
167,V TARILCI,SMB (AM Segment),33.8%,8,100.0%,€15.87,33.5%,10,100.0%,€13.03
168,BEER MEN,SMB (AM Segment),33.8%,2,100.0%,€12.46,33.3%,5,100.0%,€14.22
169,BURGERS DN,SMB (AM Segment),33.8%,18,0.0%,€16.55,33.7%,18,0.0%,€17.30
170,LISO,SMB (AM Segment),33.8%,3,0.0%,€18.17,33.1%,3,0.0%,€12.21
171,TRDELNIK & KURTOSHKALACH,SMB (AM Segment),33.7%,3,100.0%,€14.04,33.0%,3,100.0%,€12.14
172,SHINANAY CAFE,SMB (AM Segment),33.7%,5,100.0%,€17.17,32.0%,4,100.0%,€26.55
173,VARENIKA DNIPRO HANDMADE CAFE,SMB (AM Segment),33.7%,11,100.0%,€18.41,34.2%,15,100.0%,€15.63
174,PYRIZHKOVA,SMB (AM Segment),33.7%,32,0.0%,€10.56,34.0%,40,0.0%,€11.57
175,SHAURMA CLUB,SMB (AM Segment),33.6%,3,100.0%,€13.92,34.2%,4,100.0%,€12.14
176,COFFEE ART PIZZA,SMB (AM Segment),33.6%,3,100.0%,€12.59,33.0%,5,100.0%,€10.93
177,SHAURMA G1,SMB (AM Segment),33.6%,41,95.4%,€12.74,33.8%,60,89.7%,€11.96
178,RYBKA SUSHI,SMB (AM Segment),33.5%,8,100.0%,€16.33,32.7%,9,100.0%,€22.78
179,SHAURMA STREET FOOD,SMB (AM Segment),33.5%,27,0.0%,€11.54,32.9%,29,0.0%,€10.46
180,4 CHEBUREKY,SMB (AM Segment),33.4%,19,100.0%,€13.85,32.7%,22,100.0%,€15.96
181,KAFE EDA,SMB (AM Segment),33.4%,42,0.0%,€11.11,33.1%,31,0.0%,€10.02
182,LEHENDA SHAURMA,SMB (AM Segment),33.4%,8,100.0%,€10.25,32.4%,12,100.0%,€7.93
183,FAN BAR BANKA,SMB (AM Segment),33.4%,6,100.0%,€11.70,30.9%,2,43.7%,€16.97
184,LOS POLLOS SHAURMA,SMB (AM Segment),33.4%,22,100.0%,€11.04,32.0%,25,100.0%,€9.62
185,YISTIVNIA,SMB (AM Segment),33.4%,2,100.0%,€15.32,30.3%,10,100.0%,€24.26
186,KIT CHEN SUSHI,SMB (AM Segment),33.3%,5,100.0%,€38.84,33.2%,5,100.0%,€34.82
187,PERSHA ZAPIKANKA,SMB (AM Segment),33.3%,6,100.0%,€12.26,33.7%,10,100.0%,€10.49
188,TISTO CAFE,SMB (AM Segment),33.3%,2,100.0%,€20.08,32.0%,1,100.0%,€5.47
189,BAYRAKTAR,Mid-market (AM Segment),33.3%,67,100.0%,€19.91,32.8%,66,100.0%,€20.55
190,GRILLBAR FAETON,SMB (AM Segment),33.2%,8,100.0%,€18.10,33.4%,5,100.0%,€14.90
191,PAPA GREEN,SMB (AM Segment),33.2%,5,100.0%,€18.30,31.6%,4,100.0%,€10.72
192,SOHO RESTAURANT BAR,SMB (AM Segment),33.1%,6,100.0%,€28.50,33.4%,7,100.0%,€32.49
193,MANGO LUTSK,SMB (AM Segment),33.1%,4,100.0%,€8.71,30.5%,8,100.0%,€9.02
194,VITALI PIZZA,SMB (AM Segment),33.1%,6,100.0%,€15.58,33.2%,14,100.0%,€20.35
195,AMVAM DELIVERY,Mid-market (AM Segment),33.1%,89,67.1%,€13.99,30.6%,114,67.2%,€15.13
196,GASTRO FISH,SMB (AM Segment),33.1%,42,100.0%,€27.95,33.4%,30,100.0%,€25.32
197,MARICHYN CHEBUREK,SMB (AM Segment),33.1%,2,100.0%,€16.00,36.0%,1,100.0%,€16.89
198,PAKO VIN,SMB (AM Segment),33.1%,22,100.0%,€17.70,33.0%,24,100.0%,€20.84
199,RESTORAN PREMYER,SMB (AM Segment),33.1%,9,100.0%,€14.74,30.9%,10,100.0%,€14.38
200,NA KHODU,SMB (AM Segment),33.0%,10,100.0%,€9.47,32.5%,16,100.0%,€9.07
201,MORE SUSHI VYSHNEVE,SMB (AM Segment),33.0%,3,100.0%,€39.64,32.0%,1,100.0%,€29.09
202,ISTANBUL CAFE,SMB (AM Segment),33.0%,12,0.0%,€18.20,33.0%,20,0.0%,€15.43
203,SHAYRMA ALADDIN FOOD 2,SMB (AM Segment),33.0%,10,0.0%,€12.28,33.0%,8,0.0%,€11.96
204,BEER SHOP VINNITSYA,SMB (AM Segment),33.0%,14,0.0%,€9.75,33.0%,17,0.0%,€11.82
205,LAV MANGAL,SMB (AM Segment),33.0%,4,0.0%,€19.57,33.0%,3,0.0%,€14.62
206,SUSHI SHISHKI IRP,SMB (AM Segment),33.0%,1,0.0%,€22.09,,,,
207,RESTOBAR SOVA,SMB (AM Segment),33.0%,19,0.0%,€22.88,33.0%,22,0.0%,€20.85
208,TRDELNIK UZ,SMB (AM Segment),33.0%,8,0.0%,€11.05,33.0%,9,0.0%,€13.01
209,REBERKA ON KHRESHCHATYK,SMB (AM Segment),33.0%,28,0.0%,€21.04,33.0%,14,0.0%,€29.31
210,PLUSHKA&VATRUSHKA,SMB (AM Segment),33.0%,1,0.0%,€7.41,33.0%,1,0.0%,€10.63
211,TUA REST,SMB (AM Segment),33.0%,2,0.0%,€12.56,33.0%,3,0.0%,€11.78
212,SHASLIK V TANDURI,SMB (AM Segment),33.0%,1,0.0%,€16.05,33.0%,2,0.0%,€5.91
213,FAST & YUMMY,SMB (AM Segment),33.0%,3,0.0%,€27.44,,,,
214,SUSHIFOX,SMB (AM Segment),33.0%,5,0.0%,€18.04,33.0%,3,0.0%,€21.43
215,BRATY GRILL,SMB (AM Segment),33.0%,4,0.0%,€30.40,33.0%,3,0.0%,€33.85
216,KONDYTERSKYJ MAHAZYN BOLHARIYA,SMB (AM Segment),33.0%,2,100.0%,€17.07,33.0%,5,58.4%,€27.07
217,VYNO I VYSA KI,SMB (AM Segment),33.0%,2,0.0%,€55.64,33.0%,12,0.0%,€34.99
218,SOFIYA FOOD MARKET,SMB (AM Segment),33.0%,1,100.0%,€7.02,29.7%,2,100.0%,€14.02
219,KUMPIR HOUSE,SMB (AM Segment),33.0%,5,0.0%,€7.94,32.5%,8,0.0%,€12.76
220,CROCO SUSHI LV,SMB (AM Segment),33.0%,6,0.0%,€23.36,33.0%,9,0.0%,€18.96
221,ROYAL BURGER IF,SMB (AM Segment),33.0%,9,0.0%,€9.65,33.0%,5,0.0%,€15.89
222,GORILLA BURGERS KH,SMB (AM Segment),33.0%,2,0.0%,€12.95,33.0%,1,0.0%,€10.49
223,RAF CAFE,SMB (AM Segment),33.0%,1,0.0%,€29.12,33.0%,1,0.0%,€37.33
224,GREEN SHOP CAFE,SMB (AM Segment),33.0%,4,0.0%,€11.96,33.0%,1,0.0%,€8.75
225,WILLY-FOOD,SMB (AM Segment),33.0%,9,0.0%,€10.19,33.0%,9,0.0%,€10.70
226,PUB MYASO,SMB (AM Segment),33.0%,1,0.0%,€13.60,33.0%,3,0.0%,€18.13
227,PAB KEDY DNIPRO,SMB (AM Segment),33.0%,4,0.0%,€24.24,,,,
228,PAPA BEAR,SMB (AM Segment),33.0%,1,100.0%,€24.90,,,,
229,PYVNA ZAPRAVKA,SMB (AM Segment),33.0%,4,0.0%,€10.91,33.0%,2,0.0%,€7.35
230,MAMAFOOD  RIVNE,SMB (AM Segment),33.0%,8,0.0%,€11.47,31.6%,10,0.0%,€9.75
231,7:40 CHAS PUVA,SMB (AM Segment),33.0%,1,0.0%,€13.21,,,,
232,CHAVOKAND,SMB (AM Segment),33.0%,1,0.0%,€15.21,33.0%,1,0.0%,€11.55
233,CREPES CAKES,SMB (AM Segment),33.0%,8,0.0%,€13.85,27.0%,13,0.0%,€15.28
234,4CHEBUREKS PROSECCO BAR,SMB (AM Segment),33.0%,28,0.0%,€16.33,33.0%,32,0.0%,€15.30
235,KOTANA,SMB (AM Segment),33.0%,2,0.0%,€20.33,31.9%,3,0.0%,€32.18
236,YUNIST RESTAURANT,SMB (AM Segment),33.0%,3,0.0%,€10.83,33.0%,8,0.0%,€15.06
237,PITSA&SHAURMA,SMB (AM Segment),33.0%,1,0.0%,€8.31,33.0%,1,0.0%,€6.84
238,PYVNA HAVAN,SMB (AM Segment),33.0%,10,0.0%,€11.94,33.0%,18,0.0%,€14.22
239,EDISON PASTRY SHOP,SMB (AM Segment),33.0%,8,0.0%,€12.68,33.0%,11,0.0%,€11.63
240,CHEF AND HIS FAMILY,SMB (AM Segment),33.0%,1,100.0%,€24.27,33.6%,4,100.0%,€22.10
241,CHIBEREKI.NA.TOLOC,SMB (AM Segment),33.0%,1,0.0%,€10.96,33.0%,1,0.0%,€13.18
242,THE BROTHERS,SMB (AM Segment),33.0%,2,100.0%,€23.79,33.0%,2,100.0%,€16.32
243,CHICKEN KEBAB KHMELNITSKIY,SMB (AM Segment),33.0%,1,0.0%,€15.29,33.0%,15,0.0%,€9.28
244,BRATER BEER WE GO,SMB (AM Segment),33.0%,7,0.0%,€8.28,33.0%,8,0.0%,€10.00
245,DAKAR CAFE,SMB (AM Segment),33.0%,3,0.0%,€18.53,33.0%,4,0.0%,€12.70
246,DONER TOPIC,SMB (AM Segment),33.0%,2,0.0%,€11.71,33.0%,5,0.0%,€9.43
247,THE WOK,SMB (AM Segment),33.0%,1,100.0%,€15.76,33.0%,3,100.0%,€12.60
